TaxaNo,Genus,Species,Feeding,ClassNo
667,Pinctada,maxima,suspension,15
668,Pecten,fumatus,suspension,15
669,Atactodea,erycinaea,suspension,15
670,Arca,navicularis,suspension,15
671,Mimachlamys,funebris,suspension,15
672,Tegillarca,granosa,suspension,15
673,Nerita,balteata,suspension,15
674,Terebralia,palustris,suspension,15
675,Gafrarium,australe,suspension,15
676,Marcia,hiantina,suspension,15
677,Geloina,expansa,deposit,18
678,Dosinia,incisa,suspension,15
679,Circe,scripta,suspension,15
680,Gafrarium,dispar,suspension,15
681,Anadara,antiquata,herbivore,18
682,Anadara,pilula,suspension,15
683,Anadara,crebricostata,suspension,15
684,Barbatia,pistachia,suspension,15
685,Anapella,cycladea,suspension,15
686,Lutraria,rhynchaena,suspension,15
687,Tucetona,broadfooti,suspension,15
688,Tapes,conspersus,suspension,15
689,Eumarcia,fumigata,suspension,15
690,Venerupis,aspera,suspension,15
691,Bassina,pachyphylla,suspension,15
692,Plebi-Donax,deltoides,suspension,15
693,Glycymeris,flammeus,suspension,15
694,Veletuceta,flammeus,suspension,15
695,Circe,tranversa,suspension,15
696,Paphia,hiantina,suspension,15
697,NA,NA,suspension,15
698,Fulvia,tenuicostatum,suspension,15
699,Arca,fasciata,suspension,15
700,Bassinia,pachyphylla,suspension,15
701,Lima,lima,suspension,15
702,Senilia,senilis,suspension,15
703,Bucardium,ringens,suspension,15
704,Donax,rugosus,suspension,15
705,Pseudochama,gryphina,suspension,15
706,Admete,viridula,predator,18
707,Adnite,viridula,predator,18
708,Arctinula,greenlandica,unknown,15
709,Ariadnaria,borealis,suspension,15
710,Astarte,semisulcata,suspension,15
711,Bela,tenuicostata,predator,18
712,Buccinum,abyssorum,predator,18
713,Buccinum,finmarkianum,predator,18
714,Buccinum,scalariforme,predator,18
715,Cardita,novangliae,unknown,15
716,Cardium,ciliatum,suspension,15
717,Colus,kroeyeri,predator,18
718,Crenella,decussata,unknown,15
719,Cuspidaria,glacialis,predator,18
720,Cylichna,alba,predator,18
721,Cylichnoides,scalptus,predator,18
722,Dacrydium,vitreum,unknown,15
723,Lyonsiella,abyssicola,unknown,15
724,Macoma,loveni,Deposit,18
725,Macoma,moesta,Deposit,18
726,Margarita,cinera,Deposit,18
727,Margarita,groenlandica,Deposit,18
728,Margarites,vahlii,Deposit,18
729,Modiolaria,nigra,suspension,15
730,Naticidae,Naticidae,predator,18
731,Pecten,fragilis,unknown,15
732,Portlandia,intermedia,Deposit,18
733,Pronucula,tenuis,suspension,15
734,Similipecten,greenlandicus,unknown,15
735,Stenosemus,albus,unknown,15
736,Tachyrhynchus,erosus,unknown,15
737,Tellina,calcarea,Deposit,18
738,Thracia,devexa,unknown,15
739,Thracia,septentrionalis,unknown,15
740,Thyasira,gouldi,unknown,15
741,Thyasira,sp.,unknown,15
742,Volutomitra,groenlandica,predator,18
743,Yoldiella,solidula,Deposit,18
